latency_ms	cdf
0.721000	0.216667
0.722000	0.218667
0.722000	0.220667
0.723000	0.222667
0.723000	0.224667
0.724000	0.226667
0.724000	0.228667
0.724000	0.230667
0.725000	0.232667
0.725000	0.234667
0.726000	0.236667
0.726000	0.238667
0.726000	0.240667
0.727000	0.242667
0.727000	0.244667
0.727000	0.246667
0.728000	0.248667
0.728000	0.250667
0.729000	0.252667
0.729000	0.254667
0.729000	0.256667
0.730000	0.258667
0.730000	0.260667
0.730000	0.262667
0.731000	0.264667
0.731000	0.266667
0.732000	0.268667
0.733000	0.270667
0.733000	0.272667
0.733000	0.274667
0.734000	0.276667
0.734000	0.278667
0.735000	0.280667
0.735000	0.282667
0.735000	0.284667
0.736000	0.286667
0.736000	0.288667
0.736000	0.290667
0.737000	0.292667
0.737000	0.294667
0.738000	0.296667
0.738000	0.298667
0.738000	0.300667
0.739000	0.302667
0.739000	0.304667
0.740000	0.306667
0.740000	0.308667
0.741000	0.310667
0.741000	0.312667
0.741000	0.314667
0.742000	0.316667
0.742000	0.318667
0.743000	0.320667
0.743000	0.322667
0.744000	0.324667
0.744000	0.326667
0.744000	0.328667
0.744000	0.330667
0.745000	0.332667
0.745000	0.334667
0.746000	0.336667
0.746000	0.338667
0.746000	0.340667
0.747000	0.342667
0.747000	0.344667
0.748000	0.346667
0.748000	0.348667
0.749000	0.350667
0.749000	0.352667
0.750000	0.354667
0.750000	0.356667
0.750000	0.358667
0.751000	0.360667
0.751000	0.362667
0.751000	0.364667
0.752000	0.366667
0.752000	0.368667
0.753000	0.370667
0.753000	0.372667
0.753000	0.374667
0.754000	0.376667
0.754000	0.378667
0.755000	0.380667
0.755000	0.382667
0.755000	0.384667
0.756000	0.386667
0.757000	0.388667
0.757000	0.390667
0.758000	0.392667
0.758000	0.394667
0.759000	0.396667
0.759000	0.398667
0.759000	0.401000
0.760000	0.403000
0.760000	0.405000
0.761000	0.407000
0.761000	0.409000
0.761000	0.411000
0.762000	0.413000
0.762000	0.415000
0.763000	0.417000
0.763000	0.419000
0.763000	0.421000
0.763000	0.423000
0.764000	0.425000
0.764000	0.427000
0.765000	0.429000
0.766000	0.431000
0.766000	0.433000
0.767000	0.435000
0.767000	0.437000
0.767000	0.439000
0.768000	0.441000
0.768000	0.443000
0.768000	0.445000
0.769000	0.447000
0.769000	0.449000
0.770000	0.451000
0.770000	0.453000
0.771000	0.455000
0.771000	0.457000
0.772000	0.459000
0.772000	0.461000
0.773000	0.463000
0.773000	0.465000
0.773000	0.467000
0.773000	0.469000
0.774000	0.471000
0.774000	0.473000
0.775000	0.475000
0.775000	0.477000
0.776000	0.479000
0.777000	0.481000
