latency_ms	cdf
0.971000	0.447000
0.972000	0.449000
0.972000	0.451000
0.972000	0.453000
0.973000	0.455000
0.973000	0.457000
0.973000	0.459000
0.974000	0.461000
0.974000	0.463000
0.975000	0.465000
0.975000	0.467000
0.975000	0.469000
0.976000	0.471000
0.976000	0.473000
0.977000	0.475000
0.977000	0.477000
0.978000	0.479000
0.979000	0.481000
0.979000	0.483000
0.979000	0.485000
0.979000	0.487000
0.980000	0.489000
0.981000	0.491000
0.981000	0.493000
0.981000	0.495000
0.982000	0.497000
0.982000	0.499000
0.982000	0.501000
0.983000	0.503000
0.984000	0.505000
0.984000	0.507000
0.984000	0.509000
0.985000	0.511000
0.985000	0.513000
0.986000	0.515000
0.987000	0.517000
0.987000	0.519000
0.987000	0.521000
0.988000	0.523000
0.988000	0.525000
0.989000	0.527000
0.989000	0.529000
0.990000	0.531000
0.990000	0.533000
0.990000	0.535000
0.991000	0.537000
0.991000	0.539000
0.992000	0.541000
0.992000	0.543000
0.993000	0.545000
0.994000	0.547000
0.994000	0.549000
0.994000	0.551000
0.995000	0.553000
0.996000	0.555000
0.996000	0.557000
0.996000	0.559000
0.997000	0.561000
0.997000	0.563000
0.997000	0.565000
0.997000	0.567000
0.998000	0.569000
0.998000	0.571000
0.999000	0.573000
0.999000	0.575000
0.999000	0.577000
0.999000	0.579000
1.000000	0.581000
1.000000	0.583000
1.001000	0.585000
1.001000	0.587000
1.002000	0.589000
1.002000	0.591000
1.003000	0.593000
1.004000	0.595000
1.004000	0.597000
1.004000	0.599000
1.005000	0.601333
1.006000	0.603333
1.006000	0.605333
1.007000	0.607333
1.008000	0.609333
1.008000	0.611333
1.008000	0.613333
1.009000	0.615333
1.009000	0.617333
1.010000	0.619333
1.010000	0.621333
1.011000	0.623333
1.011000	0.625333
1.012000	0.627333
1.012000	0.629333
1.012000	0.631333
1.013000	0.633333
1.014000	0.635333
1.014000	0.637333
1.015000	0.639333
1.015000	0.641333
1.016000	0.643333
1.017000	0.645333
1.017000	0.647333
1.018000	0.649333
1.018000	0.651333
1.018000	0.653333
1.019000	0.655333
1.019000	0.657333
1.020000	0.659333
1.020000	0.661333
1.020000	0.663333
1.021000	0.665333
1.021000	0.667333
1.022000	0.669333
1.022000	0.671333
1.022000	0.673333
1.023000	0.675333
1.023000	0.677333
1.024000	0.679333
1.024000	0.681333
1.025000	0.683333
1.025000	0.685333
1.026000	0.687333
1.027000	0.689333
1.027000	0.691333
1.028000	0.693333
1.028000	0.695333
1.029000	0.697333
1.029000	0.699333
1.030000	0.701333
1.030000	0.703333
1.031000	0.705333
1.031000	0.707333
1.032000	0.709333
1.032000	0.711333
1.033000	0.713333
1.033000	0.715333
1.034000	0.717333
1.035000	0.719333
1.035000	0.721333
1.036000	0.723333
1.037000	0.725333
1.038000	0.727333
1.038000	0.729333
1.039000	0.731333
1.039000	0.733333
1.040000	0.735333
1.040000	0.737333
1.041000	0.739333
1.042000	0.741333
1.042000	0.743333
1.043000	0.745333
1.044000	0.747333
1.044000	0.749333
1.044000	0.751333
1.045000	0.753333
1.046000	0.755333
1.046000	0.757333
1.047000	0.759333
1.047000	0.761333
1.048000	0.763333
1.049000	0.765333
1.050000	0.767333
1.050000	0.769333
1.051000	0.771333
1.051000	0.773333
1.052000	0.775333
1.053000	0.777333
1.053000	0.779333
1.053000	0.781333
1.054000	0.783333
1.055000	0.785333
1.056000	0.787333
1.056000	0.789333
1.057000	0.791333
1.057000	0.793333
1.058000	0.795333
1.058000	0.797333
1.059000	0.799333
1.060000	0.801667
1.061000	0.803667
1.061000	0.805667
1.061000	0.807667
1.062000	0.809667
1.063000	0.811667
1.064000	0.813667
1.064000	0.815667
1.065000	0.817667
1.065000	0.819667
1.066000	0.821667
1.067000	0.823667
1.067000	0.825667
1.068000	0.827667
1.069000	0.829667
1.070000	0.831667
1.071000	0.833667
1.072000	0.835667
1.072000	0.837667
1.073000	0.839667
1.074000	0.841667
1.075000	0.843667
1.076000	0.845667
1.076000	0.847667
1.077000	0.849667
1.078000	0.851667
1.079000	0.853667
1.080000	0.855667
1.080000	0.857667
1.081000	0.859667
1.082000	0.861667
1.083000	0.863667
1.084000	0.865667
1.085000	0.867667
1.086000	0.869667
1.088000	0.871667
1.089000	0.873667
1.090000	0.875667
1.090000	0.877667
1.092000	0.879667
1.093000	0.881667
1.095000	0.883667
1.096000	0.885667
1.097000	0.887667
1.099000	0.889667
1.100000	0.891667
1.101000	0.893667
1.102000	0.895667
1.103000	0.897667
1.103000	0.899667
1.104000	0.901667
1.105000	0.903667
1.106000	0.905667
1.108000	0.907667
1.109000	0.909667
1.110000	0.911667
1.112000	0.913667
1.113000	0.915667
1.115000	0.917667
1.116000	0.919667
1.117000	0.921667
1.118000	0.923667
1.119000	0.925667
1.121000	0.927667
1.122000	0.929667
1.124000	0.931667
1.126000	0.933667
1.128000	0.935667
1.131000	0.937667
1.133000	0.939667
1.134000	0.941667
1.137000	0.943667
1.139000	0.945667
1.142000	0.947667
1.144000	0.949667
1.146000	0.951667
1.150000	0.953667
1.152000	0.955667
1.154000	0.957667
1.156000	0.959667
1.158000	0.961667
1.159000	0.963667
1.163000	0.965667
1.165000	0.967667
1.169000	0.969667
1.173000	0.971667
1.176000	0.973667
1.179000	0.975667
1.183000	0.977667
1.192000	0.979667
1.196000	0.981667
1.204000	0.983667
1.211000	0.985667
1.219000	0.987667
1.230000	0.989667
1.239000	0.991667
1.255000	0.993667
1.285000	0.995667
1.322000	0.997667
10.820000	1.000000
